Serial Number,Error Type,Ungrammatical Statement,Standard English
1062,Sentence Structure Errors,"He doesn't likes to eat vegetables, especially peas.","He doesn't like to eat vegetables, especially peas."
1063,Infinitive Errors,The company decided to strategically invest in new ventures.,The company decided to invest strategically in new ventures.
1064,Verb Tense Errors,I goes to the store everyday.,I go to the store everyday.
1065,Verb Tense Errors,The artist was draw a portrait of the model.,The artist was drawing a portrait of the model.
1066,Capitalization Errors,"i like pizza, pasta, and ice cream.","I like pizza, pasta, and ice cream."
1067,Word Choice/Usage,The suspect will be trialed in court next month.,The suspect will be tried in court next month.
1068,Contractions Errors,The team lost they're motivation after the loss.,The team lost their motivation after the loss.
1069,Faulty Comparisons,The train is more faster than the bus.,The train is faster than the bus.
1070,Sentence Structure Errors,The painting was hang on the wall above the fireplace.,The painting was hung on the wall above the fireplace.
1071,Mixed Metaphors/Idioms,"43. An ounce of prevention is worth a pound of cure, but actions speak louder than words.",43. An ounce of prevention is worth a pound of cure.
1072,Sentence Structure Errors,The children needs to be picked up from school.,The children need to be picked up from school.
1073,Relative Clause Errors,People live in the city are usually busy.,People who live in the city are usually busy.
1074,Verb Tense Errors,The baby cry when it's hungry.,The baby cries when it's hungry.
1075,Ambiguity,The boy broke him arm.,The boy broke his arm.
1076,Verb Tense Errors,The dog was dig a hole in the yard.,The dog was digging a hole in the yard.
1077,Agreement in Comparative and Superlative Forms,This pizza place has the most best pizza in town.,This pizza place has the best pizza in town.
1078,Ellipsis Errors,Can't believe... leaving so soon.,I can't believe you're leaving so soon.
1079,Subject-Verb Agreement,The group of volunteers work tirelessly to help the community.,The group of volunteers works tirelessly to help the community.
1080,Article Usage,The tourists are visiting a famous monument.,The tourists are visiting the famous monument.
1081,Capitalization Errors,she is studying at the university of cambridge in the united kingdom.,She is studying at the University of Cambridge in the United Kingdom.
1082,Sentence Structure Errors,They went to beach and had a great time together.,They went to the beach and had a great time together.
1083,Subject-Verb Agreement,The committee have decided on a course of action.,The committee has decided on a course of action.
1084,Run-on Sentences,I love music I listen to it all the time.,"I love music, and I listen to it all the time."
1085,Infinitive Errors,He decided to strongly voice his opinion.,He decided to voice his opinion strongly.
1086,Ambiguity,She don't like coffee.,She doesn't like coffee.
1087,Article Usage,The musician is playing a piano in a concert hall.,The musician is playing the piano in a concert hall.
1088,Lack of Parallelism in Lists or Series,"The hotel provides comfortable rooms, delicious food, and offering various amenities.","The hotel provides comfortable rooms, delicious food, and offers various amenities."
1089,Modifiers Misplacement,The coffee was served by the barista with a beautiful design on top.,The coffee with a beautiful design on top was served by the barista.
1090,Article Usage,The cake is decorated with a flowers.,The cake is decorated with flowers.
1091,Preposition Usage,She was sitting on the chair.,She was sitting in the chair.
1092,Conjunction Misuse,"I enjoy reading, and I enjoy writing too.",I enjoy reading and writing too.
1093,Abbreviation Errors,The pkg includes a tkt to the theme park and htl stay.,The package includes a ticket to the theme park and hotel stay.
1094,Run-on Sentences,She is a good singer she has a beautiful voice.,She is a good singer because she has a beautiful voice.
1095,Relative Clause Errors,The team I support it is from my hometown.,The team that I support is from my hometown.
1096,Sentence Structure Errors,John and I dog went for a walk.,John's and my dog went for a walk.
1097,Punctuation Errors,"The Earth, revolves around the Sun.",The Earth revolves around the Sun.
1098,Run-on Sentences,He likes to play soccer he is very good at it.,"He likes to play soccer, which he is very good at."
1099,Ambiguity,They was late for meeting.,They were late for the meeting.
1100,Passive Voice Overuse,The tickets were bought by Jane for the concert.,Jane bought the tickets for the concert.
1101,Tautology,This is an unexpected surprise for me.,This is a surprise for me.
1102,Tautology,I will return back to the office after lunch.,I will return to the office after lunch.
1103,Mixed Metaphors/Idioms,15. He's barking up the wrong tree at the end of the day.,15. He's barking up the wrong tree.
1104,Gerund and Participle Errors,I appreciate your help with organize the event.,I appreciate your help with organizing the event.
1105,Spelling Mistakes,80. The boy cutted his finger while peeling the apple.,80. The boy cut his finger while peeling the apple.
1106,Verb Tense Errors,She is going to shopping after work.,She is going shopping after work.
1107,Sentence Structure Errors,The store sells a variety of clothes and shoes.,The store sells a variety of clothing and shoes.
1108,Subject-Verb Agreement,The results of the experiments was inconclusive.,The results of the experiments were inconclusive.
1109,Faulty Comparisons,The weather is more warmer in the south.,The weather is warmer in the south.
1110,Abbreviation Errors,"The pkg was del'd by USPS, not UPS.","The package was delivered by United States Postal Service, not United Parcel Service."
1111,Run-on Sentences,He studied hard for the exam he passed with flying colors.,"He studied hard for the exam, and he passed with flying colors."
1112,Word Choice/Usage,He was very confidant in his abilities.,He was very confident in his abilities.
1113,Sentence Fragments,"The plane, delayed, passengers waiting.","The plane was delayed, and passengers were waiting."
1114,Ambiguity,She don't like coffee.,She doesn't like coffee.
1115,Verb Tense Errors,The project is complete by the deadline.,The project was completed by the deadline.
1116,Infinitive Errors,They hope to soon launch a new product.,They hope to launch a new product soon.
1117,Sentence Fragments,"The package, delivered, on the porch.",The package was delivered and left on the porch.
1118,Ambiguity,The cake is needing more time to bake.,The cake needs more time to bake.
1119,Mixed Metaphors/Idioms,"21. You can lead a horse to water, but you can't make it drink with a silver spoon.","21. You can lead a horse to water, but you can't make it drink."
1120,Sentence Structure Errors,The store sells a variety of clothes and shoes.,The store sells a variety of clothing and shoes.
1121,Sentence Structure Errors,The chef cooked a delicious meal for the guests.,The chef cooked a delicious meal for the guests.
1122,Lack of Parallelism in Lists or Series,"The program encourages students to think creatively, collaborate, and to solve real-world problems.","The program encourages students to think creatively, collaborate, and solve real-world problems."
1123,Ambiguity,He has went to the store.,He has gone to the store.
1124,Article Usage,The scientist discovered a new species of a plant.,The scientist discovered a new species of plant.
1125,Subject-Verb Agreement,The pair of socks has holes in them.,The pair of socks have holes in them.
1126,Incorrect Auxiliaries,She don't like to watch horror movies.,She doesn't like to watch horror movies.
1127,Pronoun Errors,The project manager assigned tasks to the team members based on their skills and there availability.,The project manager assigned tasks to the team members based on their skills and their availability.
1128,Ambiguity,The cake is needing more time to bake.,The cake needs more time to bake.
1129,Conjunction Misuse,"The restaurant is busy, but it is not noisy.",The restaurant is busy and not noisy.
1130,Spelling Mistakes,44. The movie was very interesting and full of suspence.,44. The movie was very interesting and full of suspense.
1131,Run-on Sentences,She loves reading books she reads every day.,"She loves reading books, and she reads every day."
1132,Parallelism Errors,"John needs to clean his room, the car, and organizing his desk.","John needs to clean his room, the car, and organize his desk."
1133,Ellipsis Errors,The restaurant was packed... had to wait for a table.,"The restaurant was packed, so we had to wait for a table."
1134,Verb Tense Errors,The birds was flying south for the winter.,The birds were flying south for the winter.
1135,Subject-Verb Agreement,The pair of shoes I bought yesterday was too tight.,The pair of shoes I bought yesterday were too tight.
1136,Sentence Fragments,"The wind, strong, trees swaying.","The wind was strong, and the trees were swaying."
1137,Passive Voice Overuse,The house was painted by the workers last week.,The workers painted the house last week.
1138,Subject-Verb Agreement,The group of tourists takes pictures of the monument.,The group of tourists take pictures of the monument.
1139,Subject-Verb Agreement,The team of writers collaborate on the script.,The team of writers collaborates on the script.
1140,Faulty Comparisons,"She is taller than her brother, but not as much as her sister.","She is taller than her brother, but not as tall as her sister."
1141,Ambiguity,The childrens went to the park.,The children went to the park.
1142,Sentence Fragments,"The sun bright, sunglasses needed.",The sun was so bright that sunglasses were needed.
1143,Negation Errors,There weren't no snacks at the event.,There were no snacks at the event.
1144,Infinitive Errors,She aspires to professionally become a dancer.,She aspires to become a professional dancer.
1145,Pronoun Errors,The project manager assigned tasks to the team members based on their skills and there availability.,The project manager assigned tasks to the team members based on their skills and their availability.
1146,Verb Tense Errors,The party was organize by the event planner.,The party was organized by the event planner.
1147,Spelling Mistakes,"48. He can play the guitar, the piano, and the drumbs.","48. He can play the guitar, the piano, and the drums."
1148,Contractions Errors,"The car has a dent, it's value has decreased.","The car has a dent, its value has decreased."
1149,Verb Tense Errors,The player scores a goal during the match.,The player scored a goal during the match.
1150,Incorrect Auxiliaries,She don't know the answer to the question.,She doesn't know the answer to the question.
1151,Article Usage,Please pass me an salt shaker.,Please pass me the salt shaker.
1152,Subject-Verb Agreement,The shelves was filled with books.,The shelves were filled with books.
1153,Contractions Errors,I don't know where it's key is.,I don't know where its key is.
1154,Verb Tense Errors,He swims in the pool every day last summer.,He swam in the pool every day last summer.
1155,Contractions Errors,They're dog has been missing since yesterday.,Their dog has been missing since yesterday.
1156,Lack of Parallelism in Lists or Series,"The workshop will help participants develop leadership skills, build confidence, and to network.","The workshop will help participants develop leadership skills, build confidence, and network."
1157,Infinitive Errors,She advised to always think positively.,She advised to think always positively.
1158,Subject-Verb Agreement,The audience was clapping their hands enthusiastically.,The audience were clapping their hands enthusiastically.
1159,Run-on Sentences,I like chocolate cake it is my favorite dessert.,I like chocolate cake; it is my favorite dessert.
1160,Clichés,You're comparing apples oranges.,You're comparing apples to oranges.
1161,Quantifier Errors,Many of the animals in this zoo are endangered.,Many animals in this zoo are endangered.
1162,Mixed Metaphors/Idioms,"10. The early bird catches the worm, but that's the way the cookie crumbles.",10. The early bird catches the worm.
1163,Verb Tense Errors,The dog was dig a hole in the yard.,The dog was digging a hole in the yard.
1164,Lack of Parallelism in Lists or Series,"The workshop will help participants develop leadership skills, build confidence, and to network.","The workshop will help participants develop leadership skills, build confidence, and network."
1165,Mixed Conditionals,"If the movie was better, I will recommend it to you.","If the movie were better, I would recommend it to you."
1166,Gerund and Participle Errors,The teacher was impressed by the student's improve in math.,The teacher was impressed by the student's improvement in math.
1167,Negation Errors,I didn't find no errors in the report.,I didn't find any errors in the report.
1168,Passive Voice Overuse,The house was painted by the workers last week.,The workers painted the house last week.
1169,Preposition Usage,I found the wallet under the sofa.,I found the wallet beneath the sofa.
1170,Passive Voice Overuse,The house was painted by the workers last week.,The workers painted the house last week.
1171,Abbreviation Errors,"He works at FB, but I work at MS.","He works at Facebook, but I work at Microsoft."
1172,Article Usage,The audience is waiting for a show to start.,The audience is waiting for the show to start.
1173,Quantifier Errors,Many of the snacks in this vending machine are unhealthy.,Many snacks in this vending machine are unhealthy.
1174,Infinitive Errors,She wanted to privately speak with her supervisor.,She wanted to speak privately with her supervisor.
1175,Quantifier Errors,Many of the snacks in this vending machine are unhealthy.,Many snacks in this vending machine are unhealthy.
1176,Capitalization Errors,i'm reading harry potter and the philosopher's stone.,I'm reading Harry Potter and the Philosopher's Stone.
1177,Verb Tense Errors,The train was delay due to bad weather.,The train was delayed due to bad weather.
1178,Capitalization Errors,the great wall of china is an iconic landmark in china.,The Great Wall of China is an iconic landmark in China.
1179,Lack of Parallelism in Lists or Series,"To become a doctor, you need to study hard, be patient, and having good communication skills.","To become a doctor, you need to study hard, be patient, and have good communication skills."
1180,Verb Tense Errors,The children has fun at the amusement park.,The children had fun at the amusement park.
1181,Punctuation Errors,"She asked ""Can you help me with my homework?""","She asked, ""Can you help me with my homework?"""
1182,Modifiers Misplacement,The lesson was taught by the instructor with a unique approach.,The lesson with a unique approach was taught by the instructor.
1183,Faulty Comparisons,My cat is more faster than your dog.,My cat is faster than your dog.
1184,Contractions Errors,"The store's sale is popular, they're discounts are great.","The store's sale is popular, their discounts are great."
1185,Conjunction Misuse,"The hotel is luxurious, and it is expensive.",The hotel is luxurious and expensive.
1186,Incorrect Auxiliaries,The dog was chasing it tail.,The dog was chasing its tail.
1187,Punctuation Errors,The teacher gave us alot of homework.,The teacher gave us a lot of homework.
1188,Capitalization Errors,"i have two cats, tom and jerry.","I have two cats, Tom and Jerry."
1189,Relative Clause Errors,"The bus, I take it every day, was late this morning.",The bus that I take every day was late this morning.
1190,Spelling Mistakes,36. The restaurant offers a wide varity of dishes.,36. The restaurant offers a wide variety of dishes.
1191,Faulty Comparisons,John is a better cook than a musician Sam.,John is a better cook than Sam is a musician.
1192,Redundancy/Repetition,I'll email you the details and the information.,I'll email you the details.
1193,Negation Errors,They don't have no pets at home.,They don't have any pets at home.
1194,Punctuation Errors,"I tried calling you, but you didn't answer, your phone.","I tried calling you, but you didn't answer your phone."
1195,Article Usage,The car is parked in a garage.,The car is parked in the garage.
1196,Spelling Mistakes,26. The ocean is fill with various species of fish and mammals.,26. The ocean is filled with various species of fish and mammals.
1197,Preposition Usage,He's working as a waiter in the restaurant.,He's working as a waiter at the restaurant.
1198,Modifiers Misplacement,The house was decorated by the designer with a modern touch.,The house with a modern touch was decorated by the designer.
1199,Spelling Mistakes,"48. He can play the guitar, the piano, and the drumbs.","48. He can play the guitar, the piano, and the drums."
1200,Lack of Parallelism in Lists or Series,"She enjoys swimming, to dance, and reading books.","She enjoys swimming, dancing, and reading books."
1201,Agreement in Comparative and Superlative Forms,This is the most latest news I've heard.,This is the latest news I've heard.
1202,Abbreviation Errors,The team is focusing on R&D for the proj.,The team is focusing on research and development for the project.
1203,Relative Clause Errors,"My brother, works at the bank, is visiting tomorrow.","My brother, who works at the bank, is visiting tomorrow."
1204,Gerund and Participle Errors,She had a difficult time make a decision.,She had a difficult time making a decision.
1205,Agreement in Comparative and Superlative Forms,The most earliest bird catches the worm.,The early bird catches the worm.
1206,Sentence Fragments,"He the gym, exercising.","He was at the gym, exercising."
1207,Article Usage,The scientist discovered a new species of a plant.,The scientist discovered a new species of plant.
1208,Verb Tense Errors,The children build a sandcastle on the beach.,The children built a sandcastle on the beach.
1209,Parallelism Errors,"The recipe calls for chopped onions, minced garlic, and you should add salt to taste.","The recipe calls for chopped onions, minced garlic, and salt to taste."
1210,Article Usage,"Can you turn off a television, please?","Can you turn off the television, please?"
1211,Article Usage,The package was delivered by a mail carrier.,The package was delivered by the mail carrier.
1212,Agreement in Comparative and Superlative Forms,He run more faster than me.,He runs faster than me.
1213,Preposition Usage,The car is parked in front the house.,The car is parked in front of the house.
1214,Subject-Verb Agreement,The group of students works on the project together.,The group of students work on the project together.
1215,Redundancy/Repetition,"Please RSVP in advance, ahead of time.",Please RSVP in advance.
1216,Verb Tense Errors,The company launch a new product next month.,The company will launch a new product next month.
1217,Ellipsis Errors,The book is long... very interesting.,The book is long but very interesting.
1218,Preposition Usage,The train arrives on 3 PM.,The train arrives at 3 PM.
1219,Modifiers Misplacement,The soccer player was awarded the trophy for his outstanding performance filled with excitement.,The soccer player filled with excitement was awarded the trophy for his outstanding performance.
1220,Sentence Fragments,"The beach, crowded, people sunbathing.","The beach was crowded, with people sunbathing."
1221,Inappropriate Register,I'm sorry to inform you that the event's been canceled due to unforeseen circumstances.,I regret to inform you that the event has been canceled due to unforeseen circumstances.
1222,Verb Tense Errors,The car need to be repaired.,The car needs to be repaired.
1223,Punctuation Errors,"Can you believe it, I won the lottery!",Can you believe it? I won the lottery!
1224,Infinitive Errors,"To thoroughly clean the house, we hired a professional.","To clean the house thoroughly, we hired a professional."
1225,Inappropriate Register,"Kindly provide me with the burger, fries, and a coke, please.","Can I have a burger, fries, and a coke, please?"
1226,Clichés,It's whole new ball game.,It's a whole new ball game.
1227,Word Choice/Usage,She excepted his offer with gratitude.,She accepted his offer with gratitude.
1228,Preposition Usage,She took the keys out her pocket.,She took the keys out of her pocket.
1229,Punctuation Errors,"We went to the beach, it was a beautiful day!",We went to the beach; it was a beautiful day!
1230,Verb Tense Errors,The farmer has plant the seeds in the field.,The farmer has planted the seeds in the field.
1231,Word Choice/Usage,He advised her to be discreet about her plans.,He advised her to be discreet about her plans.
1232,Spelling Mistakes,28. He lost his wallet and now he has no moneys.,28. He lost his wallet and now he has no money.
1233,Sentence Structure Errors,They visited their grandparents on the weekend.,They visited their grandparents on the weekend.
1234,Verb Tense Errors,The birds sings in the morning.,The birds sing in the morning.
1235,Lack of Parallelism in Lists or Series,"The app allows users to track their expenses, set budgets, and to receive financial tips.","The app allows users to track their expenses, set budgets, and receive financial tips."
1236,Verb Tense Errors,The engine is make a strange noise.,The engine is making a strange noise.
1237,Tautology,She is a female woman who works as a nurse.,She is a woman who works as a nurse.
1238,Mixed Conditionals,"If the weather is bad, we would have canceled the picnic.","If the weather were bad, we would cancel the picnic."
1239,Preposition Usage,The concert was cancelled due the rain.,The concert was cancelled due to the rain.
1240,Capitalization Errors,can you pick up some coca-cola from the store?,Can you pick up some Coca-Cola from the store?
1241,Spelling Mistakes,28. He lost his wallet and now he has no moneys.,28. He lost his wallet and now he has no money.
1242,Word Choice/Usage,The weather outside is very extreem today.,The weather outside is very extreme today.
1243,Ambiguity,My friend they play basketball.,My friends play basketball.
1244,Mixed Metaphors/Idioms,"45. Blood is thicker than water, but you can't choose your family.",45. Blood is thicker than water.
1245,Conjunction Misuse,"She is shy, but she is friendly.",She is shy and friendly.
1246,Conjunction Misuse,"The painting is old, but it is valuable.",The painting is old and valuable.
1247,"Slang, Jargon, and Colloquialisms",26. You wanna grab some dinner later?,26. Do you want to have dinner later?
1248,Passive Voice Overuse,The tickets were bought by Jane for the concert.,Jane bought the tickets for the concert.
1249,Run-on Sentences,The flowers are blooming spring has arrived.,The flowers are blooming since spring has arrived.
1250,Preposition Usage,The vase is placed on the table.,The vase is placed upon the table.
1251,Contractions Errors,It's not easy to decide which's the best option.,It's not easy to decide which is the best option.
1252,Negation Errors,There weren't no snacks at the event.,There were no snacks at the event.
1253,Inappropriate Register,"The experiment's objective was to determine how temperature affects the speed of sound, ya know.",The experiment's objective was to determine how temperature affects the speed of sound.
1254,Negation Errors,She can't find her keys nowhere.,She can't find her keys anywhere.
1255,Sentence Fragments,"The plane, delayed, passengers waiting.","The plane was delayed, and passengers were waiting."
1256,Run-on Sentences,I went to the store I bought groceries.,"I went to the store, and I bought groceries."
1257,Infinitive Errors,She advised to always think positively.,She advised to think always positively.
1258,Modifiers Misplacement,The painting was admired by the visitors hanging on the wall.,The painting hanging on the wall was admired by the visitors.
1259,Quantifier Errors,Few of the tools in this toolbox are rusty.,Few tools in this toolbox are rusty.
1260,Lack of Parallelism in Lists or Series,"The training program focuses on skill development, teamwork, and to enhance leadership abilities.","The training program focuses on skill development, teamwork, and enhancing leadership abilities."
1261,"Slang, Jargon, and Colloquialisms",34. The hacker used a zero-day exploit to compromise the system.,34. The hacker used an unknown vulnerability to compromise the system.
1262,Sentence Structure Errors,The weather is very hot today; I need a cold drink.,The weather is very hot today; I need a cold drink.
1263,Verb Tense Errors,The birds sings in the morning.,The birds sing in the morning.
1264,Word Choice/Usage,The company is planning to launch its new product next weak.,The company is planning to launch its new product next week.
1265,Modifiers Misplacement,The meeting was attended by the team discussing the new project.,The meeting discussing the new project was attended by the team.
1266,Lack of Parallelism in Lists or Series,"He wants to learn how to play the guitar, speaking French, and cooking gourmet meals.","He wants to learn how to play the guitar, speak French, and cook gourmet meals."
1267,Inappropriate Register,The board members agreed that the proposed plan was legit.,The board members agreed that the proposed plan was legitimate.
1268,Tautology,She spoke very quietly and softly during her presentation.,She spoke very quietly during her presentation.
1269,Verb Tense Errors,She is speak at the conference tomorrow.,She is speaking at the conference tomorrow.
1270,Incorrect Auxiliaries,The sun are shining brightly today.,The sun is shining brightly today.
1271,Subject-Verb Agreement,The shelves was filled with books.,The shelves were filled with books.
1272,Sentence Fragments,"She her room, cleaning up.","She was in her room, cleaning up."
1273,Spelling Mistakes,39. The teacher was explaning a difficult concept to the students.,39. The teacher was explaining a difficult concept to the students.
1274,Subject-Verb Agreement,The pair of jeans fit me perfectly.,The pair of jeans fits me perfectly.
1275,Negation Errors,They didn't find no evidence at the crime scene.,They didn't find any evidence at the crime scene.
1276,Tautology,He was very honest and truthful when he spoke.,He was very honest when he spoke.
1277,Verb Tense Errors,They was at the concert last night.,They were at the concert last night.
1278,Ellipsis Errors,The dog was friendly... barked loudly.,"The dog was friendly, but it barked loudly."
1279,Mixed Conditionals,"If I will learn Spanish, I would go to Spain.","If I learned Spanish, I would go to Spain."
1280,Verb Tense Errors,The students was taking a test in the classroom.,The students were taking a test in the classroom.
1281,Article Usage,The car is parked in a garage.,The car is parked in the garage.
1282,Subject-Verb Agreement,The list of ingredients in the recipe need revision.,The list of ingredients in the recipe needs revision.
1283,Parallelism Errors,"The game requires strategy, quick thinking, and to work as a team.","The game requires strategy, quick thinking, and teamwork."
1284,Subject-Verb Agreement,The audience was clapping their hands enthusiastically.,The audience were clapping their hands enthusiastically.
1285,Article Usage,She is an expert in a field of psychology.,She is an expert in the field of psychology.
1286,Subject-Verb Agreement,The audience was clapping their hands enthusiastically.,The audience were clapping their hands enthusiastically.
1287,Incorrect Auxiliaries,She are a great dancer.,She is a great dancer.
1288,Verb Tense Errors,The baby cry when it's hungry.,The baby cries when it's hungry.
1289,Punctuation Errors,"She said""the party was great!"":","She said, ""The party was great!"""
1290,Contractions Errors,Her's idea was innovative and successful.,Her idea was innovative and successful.
1291,Gerund and Participle Errors,The traveler was amaze by the beauty of the landscape.,The traveler was amazed by the beauty of the landscape.
1292,Mixed Conditionals,"If I will have more time, I would have exercised more.","If I had more time, I would exercise more."
1293,Run-on Sentences,The movie was boring we left early.,"The movie was boring, so we left early."
1294,Spelling Mistakes,97. The tourists were taking pictures of the beautful waterfall.,97. The tourists were taking pictures of the beautiful waterfall.
1295,Ellipsis Errors,...is not the way to handle this problem.,That is not the way to handle this problem.
1296,Sentence Structure Errors,"I can't finds my keys, have you seen them?",I can't find my keys; have you seen them?
1297,Punctuation Errors,I have been to Paris London and Rome.,"I have been to Paris, London, and Rome."
1298,Negation Errors,She didn't learn nothing from the course.,She didn't learn anything from the course.
1299,Capitalization Errors,do you like chocolate or vanilla?,Do you like chocolate or vanilla?
1300,Inappropriate Register,The movie was so amazeballs that I watched it twice.,The movie was so amazing that I watched it twice.
1301,Ambiguity,He could of been a great leader.,He could have been a great leader.
1302,Abbreviation Errors,She's a memb of the PTA at her child's school.,She's a member of the Parent-Teacher Association at her child's school.
1303,Faulty Comparisons,"The new software is more complicated than the previous version, but less than the competitor's.","The new software is more complicated than the previous version, but less complicated than the competitor's."
1304,Lack of Parallelism in Lists or Series,"The conference will cover topics such as artificial intelligence, data analysis, and to improve cybersecurity.","The conference will cover topics such as artificial intelligence, data analysis, and improving cybersecurity."
1305,Preposition Usage,The plane flew over the mountains.,The plane flew above the mountains.
1306,Mixed Metaphors/Idioms,"39. You can catch more flies with honey than with vinegar, but the grass is always greener on the other side.",39. You can catch more flies with honey than with vinegar.
1307,Lack of Parallelism in Lists or Series,"Our goals are to increase revenue, improve efficiency, and to expand our market reach.","Our goals are to increase revenue, improve efficiency, and expand our market reach."
1308,Abbreviation Errors,"The smrtph has a 5.5"" OLED display.",The smartphone has a 5.5-inch organic light-emitting diode display.
1309,Mixed Conditionals,"If he will not be so stubborn, we could have reached a compromise.","If he were not so stubborn, we could have reached a compromise."
1310,Inappropriate Register,The new employee handbook contains important info 'bout company policies and procedures.,The new employee handbook contains important information about company policies and procedures.
1311,Faulty Comparisons,The bicycle is more cheaper than the car.,The bicycle is cheaper than the car.
1312,Capitalization Errors,please submit your application to the department of human resources.,Please submit your application to the Department of Human Resources.
1313,Article Usage,The weather forecast predicts a rain for a tomorrow.,The weather forecast predicts rain for tomorrow.
1314,Abbreviation Errors,My fav band is playing at SXSW this yr.,My favorite band is playing at South by Southwest this year.
1315,Ellipsis Errors,The interview went well... got the job.,"The interview went well, and I got the job."
1316,Negation Errors,There isn't no reason to worry.,There is no reason to worry.
1317,Punctuation Errors,"The Earth, revolves around the Sun.",The Earth revolves around the Sun.
1318,Spelling Mistakes,"18. They have four childs, two boys and two girls.","18. They have four children, two boys and two girls."
1319,Ambiguity,The dog chases it's tail.,The dog chases its tail.
1320,Mixed Metaphors/Idioms,5. Let's not put all our eggs in one basket out of the frying pan and into the fire.,5. Let's not put all our eggs in one basket.
1321,Faulty Comparisons,The train is more faster than the bus.,The train is faster than the bus.
1322,Relative Clause Errors,The girl found the lost puppy was very kind.,The girl who found the lost puppy was very kind.
1323,Preposition Usage,The car is parked in front the house.,The car is parked in front of the house.
1324,"Slang, Jargon, and Colloquialisms",10. Lemme know when you're ready to leave.,10. Let me know when you're ready to leave.
1325,Clichés,That's elephant room.,That's the elephant in the room.
1326,Redundancy/Repetition,"The instructions were unclear, not clear.",The instructions were unclear.
1327,Parallelism Errors,"The class covers grammar, vocabulary, and how to improve pronunciation.","The class covers grammar, vocabulary, and pronunciation improvement."
1328,Run-on Sentences,She loves reading books she reads every day.,"She loves reading books, and she reads every day."
1329,Passive Voice Overuse,The book was written by the author in six months.,The author wrote the book in six months.
1330,Article Usage,He bought a ticket for a concert of his favorite band.,He bought a ticket for the concert of his favorite band.
1331,Spelling Mistakes,45. The children were playing hide-and-seek in the backyard.,45. The children were playing hide-and-seek in the backyard.
1332,Modifiers Misplacement,The boy was scolded by the teacher for not doing his homework with tears in his eyes.,The boy with tears in his eyes was scolded by the teacher for not doing his homework.
1333,Article Usage,The dog is chasing a ball in a park.,The dog is chasing a ball in the park.
1334,Spelling Mistakes,"50. The store sells furnitures, electronics, and clothing.","50. The store sells furniture, electronics, and clothing."
1335,Passive Voice Overuse,The speech was delivered by the politician at the rally.,The politician delivered the speech at the rally.
1336,Tautology,The exact same thing happened to me last week.,The same thing happened to me last week.
1337,Verb Tense Errors,I am eat pizza for lunch.,I am eating pizza for lunch.
1338,Ambiguity,The plane it's leaving in two hours.,The plane is leaving in two hours.
1339,Sentence Structure Errors,"The movie starts at 7:00pm, we should leave soon.",The movie starts at 7:00 pm; we should leave soon.
1340,Abbreviation Errors,The hotel offers free Wi-Fi and a cont'l bfast.,The hotel offers free wireless internet and a continental breakfast.
1341,Verb Tense Errors,She is going to shopping after work.,She is going shopping after work.
1342,Verb Tense Errors,He don't know the answer.,He doesn't know the answer.
1343,Infinitive Errors,She wants to in the future study computer science.,She wants to study computer science in the future.
1344,Punctuation Errors,The weather is terrible today it's been raining nonstop.,The weather is terrible today; it's been raining nonstop.
1345,Subject-Verb Agreement,The committee have decided on a course of action.,The committee has decided on a course of action.
1346,Mixed Metaphors/Idioms,"43. An ounce of prevention is worth a pound of cure, but actions speak louder than words.",43. An ounce of prevention is worth a pound of cure.
1347,"Slang, Jargon, and Colloquialisms","9. He's a big ol' boy, ain't he?","9. He's a big boy, isn't he?"
1348,Spelling Mistakes,"6. The performence was amazing, I enjoyed alot.","6. The performance was amazing, I enjoyed a lot."
1349,Pronoun Errors,The company wants to ensure they're customers are satisfied.,The company wants to ensure their customers are satisfied.
1350,Spelling Mistakes,76. The package was delivered to the wrong adress by mistake.,76. The package was delivered to the wrong address by mistake.
1351,Faulty Comparisons,His jokes are more funnier than hers.,His jokes are funnier than hers.
1352,Subject-Verb Agreement,The group of animals in the zoo attracts a lot of visitors.,The group of animals in the zoo attract a lot of visitors.
1353,Mixed Metaphors/Idioms,"9. It's not rocket science, but you can't make an omelette without breaking eggs.",9. It's not rocket science.
1354,Word Choice/Usage,She was very discrete about her personal life.,She was very discreet about her personal life.
1355,Mixed Conditionals,"If she will be more patient, she could have taught the class.","If she were more patient, she could teach the class."
1356,Modifiers Misplacement,The soccer player was awarded the trophy for his outstanding performance filled with excitement.,The soccer player filled with excitement was awarded the trophy for his outstanding performance.
1357,Faulty Comparisons,Her singing is less better than her dancing.,Her singing is not as good as her dancing.
1358,Subject-Verb Agreement,The series of paintings in the gallery tell a story.,The series of paintings in the gallery tells a story.
1359,Inappropriate Register,"The novel explores complex themes and presents a unique perspective on human relationships, which is super intriguing.","The novel explores complex themes and presents a unique perspective on human relationships, which is quite intriguing."
1360,"Slang, Jargon, and Colloquialisms",48. The IT guy had to come fix the glitchy software.,48. The IT specialist had to come repair the malfunctioning software.
1361,Preposition Usage,She sat beside the window.,She sat next to the window.
1362,Faulty Comparisons,The water is more deeper here than over there.,The water is deeper here than over there.
1363,Parallelism Errors,"They plan to renovate the kitchen, paint the walls, and the carpet should be replaced.","They plan to renovate the kitchen, paint the walls, and replace the carpet."
1364,Redundancy/Repetition,The athlete ran quickly with great speed.,The athlete ran quickly.
